site_domain,imps,clicks,click_thru_pct,convs_rate,booked_revenue,post_view_convs,post_click_convs,media_cost,profit_ecpm
03-social-atf-laplacemedia-6.fr,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002366,-1.183000000000000000000000
04-edito-mtf-laplacemedia-1.fr,6,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.005487,-0.914500000000000000000000
04-edito-mtf-laplacemedia-2.fr,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001179,-1.179000000000000000000000
04-edito-mtf-laplacemedia-3.fr,11,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.014986,-1.362363636363636363636000
04-edito-mtf-laplacemedia-4.fr,3,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.003022,-1.007333333333333333333000
04-edito-mtf-laplacemedia-5.fr,7,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.007320,-1.045714285714285714286000
04-edito-mtf-laplacemedia-6.fr,8,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.007002,-0.875250000000000000000000
04-edito-mtf-laplacemedia-7.fr,19,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.024283,-1.278052631578947368421000
04-ros-btf-theplacetobid.fr,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001372,-1.372000000000000000000000
05-services-mtf-laplacemedia-1.fr,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001120,-1.120000000000000000000000
05-services-mtf-laplacemedia-2.fr,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002951,-1.475500000000000000000000
06-btf-meteofrance.fr,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.003340,-0.835000000000000000000000
06-social-mtf-laplacemedia-1.fr,8,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.009701,-1.212625000000000000000000
07-btf-meteofrance.fr,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002236,-1.118000000000000000000000
07-ros-btf-laplacemedia-1.fr,19,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.027468,-1.445684210526315789474000
07-ros-btf-laplacemedia-2.fr,17,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.019786,-1.163882352941176470588000
07-ros-btf-laplacemedia-3.fr,51,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.049769,-0.975862745098039215686000
07-ros-btf-laplacemedia-4.fr,18,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.021229,-1.179388888888888888889000
